排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例） ,
——,中国石油大学（华东）,山东,42.8 ,63.6 ,97.30%,5674,0.696,59,3,435130,345,3.86%,
——,广东外语外贸大学,广东,42.7 ,64.3 ,99.98%,395,1.158,12,0,0,0,1.64%,
——,南京师范大学,江苏,42.4 ,59.2 ,95.08%,4768,1.047,99,7,153695,1840,1.53%,
——,中国政法大学,北京,42.3 ,80.3 ,97.75%,204,0.467,1,0,2487,0,1.17%,
——,北京中医药大学,北京,42.0 ,68.6 ,94.43%,2362,0.69,12,1,5214,0,6.22%,
——,西南交通大学,四川,42.0 ,61.3 ,98.05%,7832,0.742,84,7,192190,60,1.15%,
——,华南师范大学,广东,41.9 ,61.8 ,94.12%,5093,1.008,76,5,60305,1550,0.80%,
——,中国传媒大学,北京,41.9 ,74.4 ,96.26%,329,0.64,5,0,5591,0,2.22%,
——,北京林业大学,北京,41.7 ,66.3 ,94.64%,4798,0.818,40,5,56072,1310,0.47%,
——,江苏大学,江苏,41.7 ,53.3 ,96.89%,10167,0.871,138,4,314233,6004,2.46%,
——,深圳大学,广东,41.7 ,57.9 ,90.68%,4285,1.212,107,3,150289,345,0.68%,
——,汕头大学,广东,41.6 ,61.1 ,99.57%,2382,1.078,32,4,7891,210,0.06%,
——,首都经济贸易大学,北京,41.6 ,63.3 ,99.18%,298,0.992,10,1,0,0,2.98%,
——,西北农林科技大学,陕西,41.6 ,60.1 ,95.78%,8121,0.925,86,3,51930,490,0.56%,
——,浙江师范大学,浙江,41.5 ,57.8 ,96.02%,3507,1.163,82,2,15635,580,1.38%,
——,安徽大学,安徽,41.3 ,62.5 ,94.87%,4744,0.932,86,0,82912,100,0.54%,
——,大连医科大学,辽宁,41.2 ,61.7 ,92.74%,3214,0.735,22,4,3677,0,8.30%,
——,浙江理工大学,浙江,41.2 ,59.2 ,98.09%,2773,1.079,52,1,54659,8791,0.69%,
——,南京邮电大学,江苏,41.1 ,58.1 ,99.20%,3948,0.979,113,0,143611,13100,0.16%,
——,华侨大学,福建,41.0 ,58.0 ,97.61%,2464,0.86,45,1,14934,12087,6.65%,
——,宁波大学,浙江,41.0 ,58.9 ,96.22%,4699,0.833,52,4,28454,0,4.84%,
——,西北大学,陕西,40.8 ,63.7 ,84.06%,5047,1.035,88,0,51355,0,0.91%,
——,南京工业大学,江苏,40.7 ,53.9 ,91.46%,5886,1.001,123,7,315531,45468,0.04%,
——,上海中医药大学,上海,40.7 ,53.7 ,96.58%,2608,0.865,11,1,23865,0,11.21%,
——,陕西师范大学,陕西,40.3 ,61.8 ,91.51%,3945,0.956,44,2,21500,5110,0.59%,
——,首都师范大学,北京,40.3 ,57.3 ,99.08%,3076,0.861,33,2,9918,0,4.46%,
——,西交利物浦大学,江苏,40.3 ,56.5 ,98.53%,511,1.184,13,0,326,21,1.69%,
——,杭州电子科技大学,浙江,40.1 ,58.7 ,97.17%,2523,0.928,67,2,60962,26421,0.18%,
——,杭州师范大学,浙江,40.0 ,53.0 ,97.57%,3319,1.16,81,2,17318,0,0.64%,
——,燕山大学,河北,40.0 ,64.0 ,91.86%,5719,0.65,40,1,255083,18729,0.30%,
——,大连海事大学,辽宁,39.8 ,61.3 ,96.06%,2779,0.765,51,0,164880,80,1.44%,
——,河北工业大学,河北,39.8 ,67.4 ,97.55%,2844,0.592,17,0,47773,15926,0.05%,
——,南京信息工程大学,江苏,39.8 ,52.8 ,98.99%,4000,0.969,75,0,145319,21819,2.06%,
——,中央民族大学,北京,39.7 ,63.2 ,88.64%,808,0.99,23,0,6293,0,1.37%,
——,沈阳药科大学,辽宁,39.6 ,57.4 ,97.41%,2871,0.952,23,6,25186,1160,0.07%,
——,天津财经大学,天津,39.5 ,67.9 ,97.01%,125,0.593,0,0,0,0,1.91%,
——,哈尔滨医科大学,黑龙江,39.3 ,56.5 ,91.07%,5486,0.98,37,1,0,0,1.83%,
——,浙江工商大学,浙江,39.1 ,60.5 ,97.24%,2086,0.752,28,0,20468,0,1.84%,
——,长安大学,陕西,39.0 ,63.9 ,93.12%,4320,0.432,15,0,470922,28610,0.90%,
——,湘潭大学,湖南,39.0 ,55.5 ,90.64%,3451,1.067,71,2,24814,774,0.23%,
——,云南大学,云南,38.9 ,56.6 ,94.68%,3916,0.857,46,4,26626,0,1.29%,
——,重庆医科大学,重庆,38.7 ,54.7 ,92.21%,6573,0.852,43,2,4807,4300,2.32%,
——,南京财经大学,江苏,38.7 ,56.7 ,94.46%,421,1.08,11,1,769,35,0.10%,
——,上海理工大学,上海,38.7 ,57.8 ,97.28%,4336,0.633,49,0,254726,2369,1.35%,
——,湖北大学,湖北,38.6 ,57.3 ,91.77%,5631,0.828,61,2,29399,900,0.30%,
——,湖南师范大学,湖南,38.6 ,61.3 ,87.96%,2654,0.886,34,0,23892,110,0.72%,
——,扬州大学,江苏,38.5 ,49.2 ,98.56%,4664,0.919,66,3,113469,51049,1.06%,
——,温州医科大学,浙江,38.3 ,51.8 ,95.80%,4361,0.876,37,1,1267,0,4.04%,
——,浙江财经大学,浙江,38.3 ,57.9 ,98.61%,552,0.87,12,0,0,0,0.25%,
——,安徽医科大学,安徽,38.2 ,55.7 ,93.45%,4407,0.833,29,1,5334,0,2.13%,
——,福建医科大学,福建,38.2 ,58.6 ,97.06%,3249,0.68,16,2,1176,0,1.57%,
——,广东工业大学,广东,38.1 ,53.9 ,97.38%,3206,0.866,60,1,99812,745,0.04%,
——,广州医科大学,广东,37.9 ,55.0 ,96.77%,1316,0.912,14,1,5229,0,1.04%,
——,河北医科大学,河北,37.9 ,58.5 ,93.85%,3410,0.654,17,0,0,600,3.26%,
——,辽宁大学,辽宁,37.9 ,58.2 ,97.25%,1530,0.733,13,0,4426,932,1.64%,
——,上海师范大学,上海,37.9 ,48.2 ,96.94%,2506,1.092,51,3,11593,60,1.24%,
——,河北大学,河北,37.7 ,60.0 ,91.01%,3162,0.707,29,2,4731,8300,0.54%,
——,华南农业大学,广东,37.7 ,52.4 ,94.64%,4689,0.89,39,2,63697,13030,0.21%,
——,南昌大学,江西,37.6 ,51.8 ,88.04%,6389,0.881,78,3,97921,5780,1.24%,
——,太原理工大学,山西,37.6 ,58.5 ,90.79%,4741,0.709,41,1,75194,3640,0.07%,
——,南京审计大学,江苏,37.5 ,58.4 ,97.94%,249,0.777,3,0,0,0,0.16%,
——,广西大学,广西,37.4 ,56.8 ,90.28%,4610,0.692,32,1,37056,1329,2.29%,
——,山西大学,山西,37.3 ,53.7 ,85.69%,3409,1.002,72,3,17285,260,0.01%,
——,郑州大学,河南,37.3 ,44.9 ,95.00%,11763,0.782,124,2,90846,7050,0.97%,
——,广西医科大学,广西,37.1 ,52.6 ,95.96%,2979,0.849,24,0,0,0,1.46%,
——,东北林业大学,黑龙江,37.0 ,57.7 ,92.06%,3758,0.668,19,0,41442,28356,0.35%,
——,东北农业大学,黑龙江,36.9 ,54.8 ,95.45%,2568,0.766,15,0,15819,5800,0.86%,
——,武汉科技大学,湖北,36.8 ,57.8 ,94.32%,2335,0.638,19,0,132434,5208,0.01%,
——,石家庄铁道大学,河北,36.7 ,59.0 ,96.23%,1011,0.565,6,1,73125,1200,0.68%,
——,渤海大学,辽宁,36.6 ,37.4 ,93.54%,1339,1.492,50,3,1100,0,1.61%,
——,安徽师范大学,安徽,36.4 ,47.3 ,94.32%,1936,1.077,37,0,22131,210,0.35%,
——,长沙理工大学,湖南,36.3 ,53.9 ,94.27%,2483,0.648,19,1,106515,56290,0.50%,
——,福建师范大学,福建,36.3 ,50.0 ,97.31%,2951,0.811,39,1,11163,14288,0.44%,
——,黑龙江大学,黑龙江,36.3 ,46.8 ,90.15%,2258,1.064,51,3,8208,387,1.59%,
——,江西财经大学,江西,36.3 ,55.3 ,89.33%,854,0.883,23,1,0,0,0.09%,
——,广州大学,广东,36.2 ,52.5 ,93.98%,2923,0.733,31,1,157112,2150,0.04%,
——,北京工商大学,北京,36.1 ,54.4 ,96.68%,1097,0.722,9,0,37280,2985,0.09%,
——,河北师范大学,河北,36.1 ,54.4 ,91.31%,2508,0.76,20,1,39798,2800,0.36%,
——,三峡大学,湖北,36.1 ,50.9 ,92.32%,1924,0.812,26,0,87496,190,2.21%,
——,天津师范大学,天津,36.1 ,51.4 ,88.83%,1414,0.921,23,2,6182,0,1.55%,
——,温州大学,浙江,36.1 ,45.9 ,96.22%,2124,1.038,36,0,8012,100,0.69%,
——,安徽工业大学,安徽,35.9 ,46.9 ,96.71%,2479,0.932,51,1,41005,1060,0.03%,
——,河北科技大学,河北,35.9 ,53.5 ,97.35%,1434,0.669,20,1,68732,1250,0.06%,
——,青岛大学,山东,35.8 ,45.9 ,91.82%,4613,0.889,87,3,27049,0,0.90%,
——,辽宁工业大学,辽宁,35.7 ,34.3 ,94.33%,704,1.495,37,1,18000,0,2.36%,
——,上海海事大学,上海,35.7 ,48.3 ,96.45%,1428,0.834,21,1,101173,175,1.00%,
——,徐州医科大学,江苏,35.6 ,49.8 ,96.28%,1841,0.758,7,1,1033,701,1.79%,
——,天津工业大学,天津,35.5 ,47.8 ,93.33%,3390,0.793,45,3,128757,320,0.51%,
——,北京体育大学,北京,35.4 ,57.6 ,96.10%,133,0.52,0,0,0,0,0.85%,
——,四川农业大学,四川,35.4 ,49.1 ,96.40%,3250,0.774,26,0,42575,3600,0.02%,
——,西安理工大学,陕西,35.3 ,54.1 ,93.60%,4195,0.527,19,0,126638,150,0.13%,
——,河南大学,河南,35.2 ,47.0 ,92.85%,4600,0.817,53,1,8440,20514,0.09%,
——,武汉工程大学,湖北,35.2 ,50.2 ,94.36%,1389,0.795,17,0,86264,928,0.04%,
——,广州中医药大学,广东,35.1 ,52.1 ,98.26%,304,0.538,1,0,14000,0,3.28%,
——,天津中医药大学,天津,35.1 ,45.8 ,90.30%,1292,0.746,7,0,242,0,8.19%,
——,重庆邮电大学,重庆,35.0 ,50.9 ,95.04%,1911,0.642,27,1,33780,15916,0.90%,
——,济南大学,山东,35.0 ,40.2 ,90.23%,4313,1.102,92,2,46285,1800,0.22%,
——,闽南师范大学,福建,35.0 ,41.0 ,96.44%,599,1.175,18,1,2130,0,0 ,
——,北京建筑大学,北京,34.9 ,51.4 ,98.74%,709,0.558,3,0,176744,0,0.61%,
——,重庆工商大学,重庆,34.8 ,45.7 ,92.00%,812,1.018,25,0,15381,5278,0.10%,
——,福建农林大学,福建,34.8 ,44.7 ,96.45%,1799,0.898,14,0,23940,38680,0.29%,
——,青岛科技大学,山东,34.8 ,43.9 ,91.41%,2780,0.993,44,1,63546,1120,0.16%,
——,沈阳航空航天大学,辽宁,34.8 ,46.3 ,95.16%,1083,0.726,12,2,34252,0,3.86%,
——,河北农业大学,河北,34.7 ,50.7 ,94.89%,1512,0.693,16,0,26787,17480,0 ,
——,江苏师范大学,江苏,34.7 ,40.1 ,98.38%,2000,1.052,41,1,13188,0,0.20%,
——,浙江农林大学,浙江,34.7 ,44.6 ,97.83%,1457,0.856,21,1,62895,2820,0.54%,
——,北方工业大学,北京,34.6 ,48.9 ,98.03%,787,0.629,13,0,66199,0,1.73%,
——,天津理工大学,天津,34.6 ,45.2 ,92.82%,1967,0.926,40,0,38430,180,0.14%,
——,西安建筑科技大学,陕西,34.6 ,53.6 ,95.93%,3136,0.451,13,1,80904,0,0.01%,
——,中国计量大学,浙江,34.5 ,46.2 ,97.58%,2559,0.749,38,0,47253,0,0.19%,
——,长春理工大学,吉林,34.4 ,52.1 ,91.70%,2300,0.603,13,0,53244,0,0.86%,
——,中国民航大学,天津,34.4 ,53.9 ,93.87%,1189,0.541,6,0,56138,0,0.06%,
——,中南民族大学,湖北,34.4 ,43.4 ,90.56%,1517,1.046,31,2,8545,480,0 ,
——,福建中医药大学,福建,34.3 ,46.1 ,94.26%,822,0.869,4,0,100,0,1.13%,
——,海南大学,海南,34.3 ,51.0 ,89.77%,1388,0.756,12,0,8525,0,0.27%,
——,集美大学,福建,34.3 ,49.6 ,95.12%,1058,0.719,12,0,0,0,0.11%,
——,南通大学,江苏,34.3 ,41.5 ,98.52%,3858,0.813,25,1,42960,680,1.24%,
——,黑龙江中医药大学,黑龙江,34.2 ,40.5 ,90.28%,617,1.061,14,0,0,0,3.68%,
——,湖南农业大学,湖南,34.2 ,43.3 ,93.48%,1647,0.965,22,0,60568,8250,0.12%,
——,辽宁师范大学,辽宁,34.1 ,48.9 ,95.92%,1605,0.638,5,0,2610,0,1.13%,
——,上海海洋大学,上海,34.1 ,40.7 ,96.44%,1939,0.961,42,0,24199,12235,0.24%,
——,南京中医药大学,江苏,34.0 ,45.1 ,95.26%,2602,0.659,4,1,10827,0,3.26%,
——,宁夏医科大学,宁夏,34.0 ,45.7 ,90.87%,1151,0.825,9,0,1560,0,2.58%,
——,浙江中医药大学,浙江,34.0 ,44.4 ,96.67%,1211,0.78,8,0,4605,0,2.11%,
——,广西师范大学,广西,33.9 ,43.2 ,93.81%,1685,0.858,18,1,3193,20,1.56%,
——,云南师范大学,云南,33.9 ,38.3 ,97.16%,1186,0.999,26,0,1914,0,2.18%,
——,山东师范大学,山东,33.8 ,47.0 ,90.92%,2060,0.771,23,2,5014,825,0.27%,
——,北京物资学院,北京,33.7 ,41.1 ,97.94%,103,0.984,3,0,5117,0,0.19%,
——,沈阳医学院,辽宁,33.7 ,40.9 ,92.93%,246,0.61,0,0,141,0,10.84%,
——,河南师范大学,河南,33.6 ,42.3 ,91.55%,3094,0.89,41,1,58272,5620,0.01%,
——,西南石油大学,四川,33.6 ,46.3 ,92.40%,3160,0.576,22,1,359444,353,0.03%,
——,常州大学,江苏,33.5 ,43.0 ,93.35%,2928,0.803,40,0,82384,0,0.13%,
——,山西财经大学,山西,33.5 ,51.9 ,88.65%,102,0.684,1,0,0,0,0 ,
——,承德医学院,河北,33.4 ,51.7 ,96.98%,218,0.373,1,0,150,0,2.61%,
——,江西师范大学,江西,33.4 ,38.9 ,88.83%,2088,1.103,52,0,4793,0,0.52%,
——,新乡医学院,河南,33.4 ,48.2 ,95.46%,1400,0.646,4,0,0,0,0.09%,
——,延边大学,吉林,33.4 ,48.8 ,86.59%,1283,0.749,1,0,4683,0,1.65%,
——,重庆交通大学,重庆,33.3 ,48.5 ,95.09%,1136,0.533,12,1,83744,18190,0.41%,
——,昆明医科大学,云南,33.3 ,44.9 ,97.70%,924,0.642,3,0,30,0,2.12%,
——,湖州师范学院,浙江,33.2 ,38.9 ,97.63%,755,0.992,11,0,5800,1000,0.07%,
——,山西师范大学,山西,33.2 ,47.5 ,88.58%,946,0.787,11,1,588,0,0 ,
——,天津科技大学,天津,33.2 ,44.9 ,91.89%,2331,0.754,16,1,49118,400,0.12%,
——,河北经贸大学,河北,33.1 ,54.7 ,93.24%,113,0.393,0,0,0,0,0.21%,
——,内蒙古大学,内蒙古,33.1 ,46.4 ,84.60%,1609,0.807,18,0,2917,200,1.90%,
——,信阳师范学院,河南,33.1 ,36.1 ,95.35%,765,1.139,22,1,1481,0,0.01%,
——,长江大学,湖北,33.0 ,45.3 ,91.07%,1731,0.603,10,0,151822,200,2.50%,
——,河南理工大学,河南,33.0 ,44.2 ,92.35%,3059,0.71,25,0,61222,6320,0.01%,
——,南华大学,湖南,33.0 ,46.1 ,91.96%,2106,0.701,17,0,8798,3210,0.15%,
——,武汉轻工大学,湖北,33.0 ,42.8 ,93.76%,739,0.879,9,0,9754,22,0 ,
——,广东医科大学,广东,32.9 ,39.3 ,95.35%,1723,0.939,17,0,4810,0,0 ,
——,河北北方学院,河北,32.9 ,45.2 ,95.29%,618,0.596,5,0,2437,0,3.05%,
——,上海立信会计学院,上海,32.9 ,49.3 ,97.03%,112,0.536,0,0,0,0,0 ,
——,广东药科大学,广东,32.8 ,39.9 ,97.77%,1395,0.848,14,0,7857,1892,0.11%,
——,山东科技大学,山东,32.8 ,42.8 ,96.27%,2392,0.637,17,3,53150,0,0.73%,
——,苏州科技大学,江苏,32.8 ,40.1 ,97.70%,1128,0.838,17,0,40103,95,0 ,
——,北京信息科技大学,北京,32.7 ,46.4 ,99.13%,740,0.52,8,0,30883,0,0.43%,
——,黄冈师范学院,湖北,32.7 ,34.1 ,92.90%,284,1.264,7,0,0,820,0 ,
——,湖南科技大学,湖南,32.6 ,46.8 ,93.18%,1766,0.593,13,0,43683,870,0 ,
——,陕西科技大学,陕西,32.6 ,48.1 ,92.17%,1943,0.574,7,0,17370,800,0 ,
——,重庆师范大学,重庆,32.5 ,40.9 ,94.94%,1126,0.819,19,0,12833,0,0.26%,
——,湖南工业大学,湖南,32.5 ,38.4 ,89.02%,961,1.056,43,0,8763,0,0 ,
——,江汉大学,湖北,32.5 ,45.2 ,91.44%,543,0.745,4,0,19735,1900,0.01%,
——,江苏科技大学,江苏,32.5 ,46.5 ,88.81%,1953,0.624,18,1,139335,169,0.03%,
——,中南林业科技大学,湖南,32.5 ,46.6 ,94.04%,1276,0.588,13,0,26234,5320,0.04%,
——,东北电力大学,吉林,32.4 ,49.3 ,91.58%,1060,0.475,3,0,72625,26600,0.08%,
——,山东财经大学,山东,32.4 ,49.9 ,78.19%,558,0.801,14,1,408,0,0.03%,
——,华北理工大学,河北,32.3 ,47.2 ,95.68%,113,0.531,0,0,0,0,0.66%,
——,山东农业大学,山东,32.3 ,35.0 ,97.43%,2962,0.912,24,0,41104,14528,0 ,
——,西南医科大学,四川,32.3 ,44.5 ,94.27%,821,0.608,4,0,14675,300,1.69%,
——,中北大学,山西,32.3 ,49.8 ,90.30%,3150,0.415,5,0,112383,0,0 ,
——,成都理工大学,四川,32.2 ,44.2 ,93.33%,3181,0.545,24,0,138289,6136,0 ,
——,广东财经大学,广东,32.2 ,47.1 ,96.03%,228,0.536,0,0,0,0,0 ,
——,西安邮电大学,陕西,32.2 ,48.5 ,91.19%,850,0.541,10,0,43779,100,0 ,
——,浙江科技学院,浙江,32.2 ,40.7 ,98.52%,781,0.571,4,0,37340,0,3.62%,
——,安徽农业大学,安徽,32.0 ,40.5 ,93.48%,1409,0.722,9,0,47557,48000,0.24%,
——,昆明理工大学,云南,32.0 ,39.1 ,92.79%,5456,0.606,29,3,135462,470,0.62%,
——,宁夏大学,宁夏,32.0 ,43.5 ,90.60%,1049,0.74,6,0,9114,0,0.53%,
——,锦州医科大学,辽宁,31.8 ,39.7 ,92.49%,1079,0.566,3,0,4960,0,6.43%,
——,烟台大学,山东,31.8 ,35.3 ,98.01%,1666,0.827,24,0,22366,615,1.25%,
——,贵州大学,贵州,31.7 ,42.8 ,83.60%,2661,0.757,38,2,55368,1515,0.30%,
——,吉林师范大学,吉林,31.7 ,45.3 ,88.09%,966,0.653,3,0,5158,750,0.75%,
——,山西医科大学,山西,31.7 ,48.8 ,82.44%,1817,0.634,10,0,2853,0,0 ,
——,绍兴文理学院,浙江,31.7 ,38.6 ,94.99%,1010,0.805,19,0,11514,0,0.21%,
——,沈阳农业大学,辽宁,31.7 ,46.4 ,89.89%,1289,0.58,5,0,22530,50,0.12%,
